,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,C4M,C,147,392,2019-12-08T01:33:06
1,C4M,Y,33,47,2019-12-08T01:33:06
2,C4M,H,0,1,2019-12-08T01:33:06
0,J70,C,14,147,2019-12-08T01:33:18
0,J75M,C,66,333,2019-12-08T01:32:57
0,JM15,C,30,491,2019-12-08T01:32:57
0,JM18,C,176,560,2019-12-08T01:33:11
0,C24,C,234,545,2019-12-08T01:31:51
0,C27,C,7,17,2019-12-08T01:31:45
0,KTM5,C,167,512,2019-12-08T01:26:55
1,KTM5,Y,66,170,2019-12-08T01:26:55
2,KTM5,H,0,1,2019-12-08T01:26:55
0,KTM6,C,248,252,2019-08-01T08:03:57
0,BP2,C,147,466,2019-12-08T01:32:52
0,BBM3,C,153,1214,2019-12-08T01:33:10
0,BBM5,C,142,951,2019-12-08T01:33:18
0,U33,C,38,290,2019-12-08T01:33:07
0,U34,C,34,303,2019-12-08T01:33:14
0,J84M,C,0,285,2019-12-08T01:33:03
0,J85M,C,33,269,2019-12-08T01:32:55
0,Q84,C,100,300,2019-12-08T01:33:08
1,Q84,Y,7,124,2019-12-08T01:33:08
2,Q84,H,0,1,2019-12-08T01:33:08
0,Q87,C,216,422,2019-12-08T01:33:09
1,Q87,Y,54,168,2019-12-08T01:33:09
2,Q87,H,0,1,2019-12-08T01:33:09
0,Q89,C,233,441,2019-12-08T01:33:09
1,Q89,Y,144,144,2019-12-08T01:33:09
2,Q89,H,0,1,2019-12-08T01:33:09
0,BM5,C,2,46,2019-12-08T01:33:06
1,BM5,Y,4,8,2019-12-08T01:33:06
2,BM5,H,1,1,2019-12-08T01:33:06
0,TB1,C,6,58,2019-12-08T01:33:05
1,TB1,Y,0,22,2019-12-08T01:33:05
2,TB1,H,0,1,2019-12-08T01:33:05
0,TB3,C,25,154,2019-12-08T01:33:05
1,TB3,Y,21,56,2019-12-08T01:33:05
2,TB3,H,0,1,2019-12-08T01:33:05
0,TB9,C,30,77,2019-12-08T01:26:56
1,TB9,Y,11,45,2019-12-08T01:26:56
2,TB9,H,0,7,2019-12-08T01:26:56
0,TBC3,C,54,106,2019-12-08T01:33:05
1,TBC3,Y,65,95,2019-12-08T01:33:05
2,TBC3,H,0,106,2019-12-08T01:33:05
0,C26,C,25,35,2019-12-08T01:31:46
0,C25,C,45,144,2019-12-08T01:31:50
0,C22M,C,179,200,2019-12-08T01:31:46
0,JM7,C,601,1165,2019-12-08T01:33:19
0,JM30,C,0,706,2019-12-01T09:08:09
0,J72,C,113,256,2019-12-08T01:32:58
0,J69,C,28,222,2019-12-08T00:59:55
0,JM23,C,227,793,2019-12-01T08:16:38
0,JM19,C,1437,1437,2019-12-01T08:16:38
0,U43,C,127,270,2019-12-08T01:30:39
0,U43Z,C,85,1000,2019-07-03T03:59:43
